"Date	Close	Volume	Company_ticker	Company_name	Field	Dis_category	Rate_of_Return	Date1	Close1	Volume1	Company_ticker1	Company_name1	Field	Dis_category	Rate_of_Return1"
"3/18/2016	28.23	21405775	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.001774308	3/21/2016	64.98	452158	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.009753124"
"3/17/2016	28.18	9631654	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.002133713	3/18/2016	65.62	667741	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.005824647"
"3/16/2016	28.12	10433447	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.01042041	3/17/2016	65.24	483546	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.00760572"
"3/15/2016	27.83	6105327	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.000359454	3/16/2016	65.74	570956	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.015289575"
"3/14/2016	27.82	4619054	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.003581662	3/15/2016	64.75	792987	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.029671812"
"3/11/2016	27.92	8357630	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.01712204	3/14/2016	66.73	479774	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.019089798"
"3/10/2016	27.45	9273768	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.009025271	3/11/2016	65.48	643977	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.01299505"
"3/9/2016	27.7	7779294	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.009107468	3/10/2016	64.64	784294	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.020160679"
"3/8/2016	27.45	10519958	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.016129032	3/9/2016	65.97	996701	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.01345895"
"3/7/2016	27.9	9191612	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.003597122	3/8/2016	66.87	821848	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.022368421"
"3/4/2016	27.8	8656373	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.001436782	3/7/2016	68.4	703161	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.027027027"
"3/3/2016	27.84	7450164	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.009061254	3/4/2016	66.6	1242119	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.033679963"
"3/2/2016	27.59	7552480	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.007553957	3/3/2016	64.43	972777	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.00452136"
"3/1/2016	27.8	9918653	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.028867506	3/2/2016	64.14	1360568	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.02285192"
"2/29/2016	27.02	13200154	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.002215657	3/1/2016	65.64	1321069	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.001525786"
"2/26/2016	27.08	8671630	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.010956903	2/29/2016	65.54	1157951	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.008021795"
"2/25/2016	27.38	8348374	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.002196193	2/26/2016	66.07	1199302	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.003769602"
"2/24/2016	27.32	8897079	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.013729128	2/25/2016	66.32	2833781	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.063673585"
"2/23/2016	26.95	10921693	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.014625229	2/24/2016	70.83	1219053	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.03386367"
"2/22/2016	27.35	11548659	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.02742299	2/23/2016	68.51	1026901	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.003345941"
"2/19/2016	26.62	10471233	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.008333333	2/22/2016	68.74	864457	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.059494451"
"2/18/2016	26.4	11129468	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.002644503	2/19/2016	64.88	578126	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.002766677"
"2/17/2016	26.47	15267634	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.033580633	2/18/2016	65.06	750512	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.00747521"
"2/16/2016	25.61	9773874	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.043177189	2/17/2016	65.55	824602	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.031633617"
"2/15/2016	24.55	0	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0	2/16/2016	63.54	616032	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.032163743"
"2/12/2016	24.55	13059979	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.005267423	2/15/2016	61.56	0	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0"
"2/11/2016	24.68	19841370	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.014385532	2/12/2016	61.56	841658	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.001945525"
"2/10/2016	24.33	26056704	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.007870754	2/11/2016	61.68	1267755	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.019551741"
"2/9/2016	24.14	32023924	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.018300122	2/10/2016	62.91	1428890	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.014876292"
"2/8/2016	24.59	17446621	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.01914639	2/9/2016	63.86	1485117	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.01995089"
